Topic,Count,Name,Representation,Representative_Docs
62,25,62_indexerror_array_must_must be,"['indexerror', 'array', 'must', 'must be', 'sure', 'all arrays', 'arrays contain the', 'sure all', 'arrays contain', 'make sure all']","['make sure all arrays contain the same number of samples', 'data cardinality is ambiguous, make sure all arrays contain the same number of samples', 'valueerror: data cardinality is ambiguous ; make sure all arrays contain the same number of samples']"
63,25,63_filter_conditions_to filter_filtering,"['filter', 'conditions', 'to filter', 'filtering', 'pandas', 'dataframe', 'how to filter', 'select', 'pandas dataframe', 'in pandas']","['more efficient way to create new column in dataframe that uses row-based filtering but avoiding iterrows()', 'how to apply a pandas filter if the filter requirement is an element in a list', 'how to filter and drop rows in a pandas dataframe from selected columns']"
64,24,64_importing pandas_modulenotfounderror no module_modulenotfounderror no_named pandas,"['importing pandas', 'modulenotfounderror no module', 'modulenotfounderror no', 'named pandas', 'module named pandas', 'modulenotfounderror', 'no module named', 'module named', 'no module', 'importing']","['modulenotfounderror: no module named \'pandas\' - i keep getting ""kicked"" out of my .venv enviornment when running script', ""modulenotfounderror: no module named 'pandas' in apache airflow"", ""modulenotfounderror: no module named 'pandas._config'""]"
65,24,65_resnet50_efficientnet_resnet50 model_resnet,"['resnet50', 'efficientnet', 'resnet50 model', 'resnet', 'classifiers', 'resnet model', 'image', 'densenet121', 'imagenet', 'fine tuning']","['how do i fix this image shape error when feeding image to resnet50?', 'finding a way to show image category name in resnet50 model', 'how do i alter the code of efficientnet v2 so it can take input images of unconventional size?']"
66,22,66_compare_dataframes_comparing_compare two,"['compare', 'dataframes', 'comparing', 'compare two', 'compare two dataframes', 'two', 'pandas dataframes how', 'two dataframes', 'pandas dataframes', 'to compare']","['how can i compare two pandas dataframes with object-type columns, with a numeric tolerance?', 'compare two dataframes and check if combination in first df is in second', 'how to compare two dataframes according to values and column headers in pandas?']"
67,22,67_decimal_float_round_decimal places,"['decimal', 'float', 'round', 'decimal places', 'places', 'decimals', 'round function', 'values', 'decimal values', 'float64']","['float values not displaying decimal places when using pandas to_sql()', 'inconsistent behavior of float datatype in pandas dataframe for high precision decimal values', 'round function is inconsistent in rounding 2 decimal places']"
68,22,68_image_dataset_from_directory_utils image_dataset_from_directory_keras utils image_dataset_from_directory_tf keras utils,"['image_dataset_from_directory', 'utils image_dataset_from_directory', 'keras utils image_dataset_from_directory', 'tf keras utils', 'keras utils', 'utils', 'tf keras', 'images', 'classes', 'tf']","['can i use the output of tf.keras.utils.image_dataset_from_directory to train an autoencoder?', 'how to use tf.keras.utils.image_dataset_from_directory to create training,testing, validation sets?', 'using tf.keras.utils.image_dataset_from_directory mismatches labels on the images']"
69,22,69_input_valueerror_tensorflow_shape,"['input', 'valueerror', 'tensorflow', 'shape', 'expects input but', 'expects input', 'but it received', 'valueerror layer', 'expects', 'it received']","['valueerror: layer ""model_69"" expects 3 input(s), but it received 96 input tensors', 'valueerror: layer ""model_1"" expects 7 input(s), but it received 1 input tensors', 'valueerror: layer ""model_20"" expects 3 input(s), but it received 1 input tensors. inputs received: []. how to fix this']"
70,22,70_model fit_fit_keras model fit_model,"['model fit', 'fit', 'keras model fit', 'model', 'nonetype object', 'keras model', 'nonetype', 'nonetype object is', 'work when', 'model fit function']","[""during model.fit() 'nonetype' object is not callable, ambiguous truth series"", 'model.fit ""typeerror: \'nonetype\' object is not callable""', 'keras model.fit() fails with valueerror: shapes (none, 5) and (none, 1) are incompatible']"
71,22,71_pyinstaller_exe_with pyinstaller_an exe,"['pyinstaller', 'exe', 'with pyinstaller', 'an exe', 'pyinstaller exe', 'doesn include', 'exe file', 'pyinstaller doesn', 'pyinstaller doesn include', 'pyinstaller build']","[""pyinstaller - it does'nt generate an .exe file"", 'exe created with pyinstaller fails to import qtmodern as specified in hook', 'how to package a pyspark + delta lake script into an exe with pyinstaller']"
72,22,72_pytest_with pytest_tesseract_fixture,"['pytest', 'with pytest', 'tesseract', 'fixture', 'test', 'tesseract ocr', 'fixture in', 'fixture in pytest', 'using pytest', 'in pytest']","['can someone help me how to test with sys.exit if its possible with pytest?', 'pytest-django database not rolled back with pytest-asyncio', 'how can i get the accurate time spent in the pytest-html report when the tests are run in parallel (via pytest-xdist)?']"
73,21,73_series_pandas_integer_result,"['series', 'pandas', 'integer', 'result', 'this pandas series', 'convert this pandas', 'convert this', 'pandas series result', 'series result', 'series result to']","['pandas dt accessor or groupby function returning decimal numbers instead of integers in index labels where some series values na', 'how to convert this pandas.series result to integer?', 'how can i convert this pandas.series result to integer?']"
74,21,74_import_from keras_import keras_keras,"['import', 'from keras', 'import keras', 'keras', 'cannot import', 'to import', 'can import', 'cannot import name', 'import name', 'importing']","['cannot import from keras', 'getting ""cannot import name \'layers\' from \'keras\'"" while importing keras', ""cannot import name 'path_to_string' from 'keras.utils.io_utils' (c:\\users\\hello\\.conda\\envs\\myenv\\lib\\site-packages\\keras\\utils\\io_utils.py)""]"
75,21,75_metrics_metric_custom metric_keras metrics,"['metrics', 'metric', 'custom metric', 'keras metrics', 'f1score', 'metrics in', 'scikeras', 'wrappers', 'custom', 'custom metric with']","['kerastuner: custom metrics (e.g., f1 score, auc) in objective with randomsearch error', ""tensorflow 2.17.0 model metrics not recognized - showing ['loss', 'compile_metrics'] instead of expected metrics"", 'replace tfa.metrics.f1score from tf addon by tf.keras.metrics.f1score']"
76,21,76_rolling_window_pandas rolling_rolling window,"['rolling', 'window', 'pandas rolling', 'rolling window', 'pandas', 'window in', 'in pandas pandas', 'dataframe rolling', 'does pandas rolling', 'rolling windows']","['pandas rolling window operation inconsistent results based on the length of a series', 'erroneous pandas rolling results with time window in grouped by dataframe imported from bigquery', 'pandas dataframe rolling mean of last 50 daily values differs from rolling(""50d"").mean()']"
77,20,77_optimizer_adam_adam object_adam object has,"['optimizer', 'adam', 'adam object', 'adam object has', 'new keras', 'adam optimizer', 'new keras optimizer', 'deprecated in the', 'valueerror decay is', 'attributeerror adam object']","[""how to fix this value error ' valueerror: decay is deprecated in the new keras optimizer'?"", 'valueerror: decay is deprecated in the new keras optimizer, pleasecheck the docstring for valid arguments, or use the legacy optimizer', 'valueerror: decay is deprecated in the new keras optimizer?']"
78,20,78_asyncio_python asyncio_gather_asyncio gather,"['asyncio', 'python asyncio', 'gather', 'asyncio gather', 'tasks', 'async', 'asyncio task', 'writer', 'asyncio gather returning', 'gather returning']","['why does asyncio.gather() sometimes hang indefinitely when one of the tasks raises an exception?', 'python asyncio.gather returning future attached to differnt loop exception', ""i have two simple python functions with time.sleep and reading data so i/o-bound but i don't get expected behavior from threading and asyncio""]"
79,20,79_neural_neural network_network_neural network to,"['neural', 'neural network', 'network', 'neural network to', 'network to', 'output layer', 'in neural network', 'function', 'in neural', 'to understand']","['neural network always outputs the average of target values no matter the input', 'neural network to approximate the square function gives 0 output', 'hello world neural network to understand basics']"
80,20,80_and keras_tensorflow and keras_tensorflow and_keras,"['and keras', 'tensorflow and keras', 'tensorflow and', 'keras', 'tensorflow', 'compatibility', 'and keras compatibility', 'keras compatibility', 'keras in', 'between tensorflow and']","['compatibility issue between tensorflow and keras', 'object detection api, tensorflow and keras compatibility issue', 'need to convert keras model to tensorflow.js but facing version compatibility issues between tensorflow and keras']"
81,20,81_pycharm_in pycharm_interpreter_2025,"['pycharm', 'in pycharm', 'interpreter', '2025', 'pycharm pycharm', 'in pycharm pycharm', 'pycharm 2025', 'show', 'few', 'conda']","['how can i fix the ""calling format_html() without passing args or kwargs is deprecated."" in pycharm?', 'pycharm remote ssh + conda interpreter works once, but disappears after restart (""nothing to show"")', 'how to make sure i set the correct python interpreter in pycharm as in the terminal?']"
82,20,82_unicode_codec can_codec_unicodeencodeerror,"['unicode', 'codec can', 'codec', 'unicodeencodeerror', 'byte', 'in position', 'characters', 'position', 'codec can decode', 'can decode']","['error: ""\'utf-8\' codec can\'t decode byte 0xd6 in position 4: invalid continuation byte"" when trying to open .wav file', ""unicodeencodeerror: 'charmap' codec can't encode characters in position 19-38: character maps to <undefined>"", ""unicodeencodeerror at / 'charmap' codec can't encode characters in position 18-37: character maps to <undefined>""]"
83,19,83_sql_to_sql_sqlite3_sql server,"['sql', 'to_sql', 'sqlite3', 'sql server', 'query', 'pandas to_sql', 'table', 'server', 'sql server using', 'server using']","['how to create a parameterized query for pandas with a dynamic table name that avoids sql injection?', 'dataframe data did not insert into ms access database “type error: the first argument to execute must be a string or unicode query.”', 'pandas dataframe insert to sql server using pyodbc fails if more than 1 record is present in batch']"
84,19,84_conda_anaconda_environment_in conda,"['conda', 'anaconda', 'environment', 'in conda', 'install', 'conda environment', 'cuda', 'session', 'conda env', 'bash session']","['keep conda environment of parent bash session when start a new bash session', 'vscode could not find conda environment: .conda', 'after updating windows 10 to 11 and upgrading python from 3.9.7 to 3.11.13, i could not create an executable via anaconda prompt. how to solve it?']"
85,18,85_sequential_added to sequential_be added_can be added,"['sequential', 'added to sequential', 'be added', 'can be added', 'keras layer can', 'of keras layer', 'instances of keras', 'be added to', 'only instances', 'layer can be']","['how to fix valueerror: only instances of keras.layer can be added to a sequential model when adding tensorflow_hub.keraslayer?', 'error : only instances of `keras.layer` can be added to a sequential model', 'only instances of `keras.layer` can be added to a sequential model']"
86,18,86_image_imagedatagenerator_images_imagedatagenerator is,"['image', 'imagedatagenerator', 'images', 'imagedatagenerator is', 'gradcam', 'the image', 'unpack', 'an image', 'after passing some', 'typeerror cannot unpack']","['imagedatagenerator is turning all of my rgb pixels to 0', 'invalid_argument: unknown image file format. one of jpeg, png, gif, bmp required', 'i am trying to make my program save one image after passing some filters to it to a folder. opencv python3 jetson nano']"
87,18,87_random_sample_randomly_random sample,"['random', 'sample', 'randomly', 'random sample', 'shuffle', 'sample from', 'create', 'pandas dataframe', 'selection', 'conditions']","['create random partition inside a pandas dataframe and create a field that identifies partitions', 'how to sample pandas dataframe using a normal distribution by using random_state and numpy generators', 'how to randomly sample a dataset with specific constraints on two boolean conditions by python?']"
88,18,88_dimensions_size_output size_sizes,"['dimensions', 'size', 'output size', 'sizes', 'dimension', 'must', 'be equal keras', 'sizes in', 'equal keras', 'output size for']","['for keras layers with unknown sizes is it possible to know the output size for a specific input?', 'reshape error when building keras model: dimension size must be evenly divisible by 128000 but is 524288', 'how to deal with none shape sizes in a custom layer whose output size should be half the input size?']"
89,17,89_substring_substring in_str contains_string,"['substring', 'substring in', 'str contains', 'string', 'contains', 'column', 'pandas', 'in column', 'for string in', 'contains in']","['searching for string in entire pandas dataframe including headers and all', 'how search and locate (row and column of) substring in entire df?', ""pandas searching for string in column? seems easy but i'm not getting any results""]"
90,17,90_resample_interpolating_interpolate_interpolation,"['resample', 'interpolating', 'interpolate', 'interpolation', 'pandas resample', 'pandas', 'one column', 'linear', 'dataframe based on', 'dataframe based']","['pandas resample dataframe based on one column but selecting corresponding row from other columns', 'pandas .resample with .agg function failing on ""indexerror: single positional indexer is out-of-bounds', ""how do i get .resample().interpolate() to not ignore data points that don't fit the rule?""]"
91,17,91_mean_average_mean value_groupby,"['mean', 'average', 'mean value', 'groupby', 'mean value for', 'groupby transform', 'for column', 'the average', 'per group', 'calculate']","['how can i assign a new column that is equal to the mean of the rows of another dataframe which fall in a range?', 'how can i subtract each group’s mean from its rows in pandas without losing the original row order (and without apply)?', 'calculate a mean value for column c for all dates less than the date in row r with pandas']"
92,17,92_list_python list_comprehension_list comprehension,"['list', 'python list', 'comprehension', 'list comprehension', 'iterator', 'tuples', 'sometimes', 'see', 'python', 'tuple']","['in python, how do i iterate operation over several lists and return an updated list for each?', 'why does assigning a value using a row object from iterrows() work the first time but not the second?', 'python list of tuples while iterating unable to see an element but when printing it can see the element']"
93,16,93_epoch_taking_training_epoch taking,"['epoch', 'taking', 'training', 'epoch taking', 'accuracy', 'second', 'first epoch', 'of training', 'deep learning model', 'learning model']","['why am i getting a concat error at the end of one epoch of training?', 'first epoch taking taking hours all others taking 1 second', 'keras running out of training data on second epoch no matter how much data i add']"
94,16,94_iloc_loc_df iloc_iloc in,"['iloc', 'loc', 'df iloc', 'iloc in', 'iloc in pandas', 'pandas iloc', 'pandas', 'pandas loc', 'slicing', 'df']","[""pandas dataframe loc assign a value (pybel object) to a cell: typeerror: object of type 'molecule' has no len()"", 'pandas 3.0 copy-on-write changes, how to best assign loc and iloc selection', ""why does using df.iloc[[i][0]] in pandas' iloc() lead to specific behavior?""]"
95,16,95_tree_treeview_trees_binary,"['tree', 'treeview', 'trees', 'binary', 'not show', 'to check', 'parent', 'self', 'implement', 'terminal']","['how to implement height() and count_leaves() functions in my binary search tree (bst) in python?', 'treeview.insert give erre res = self.tk.call(self._w, ""insert"", parent, index, *opts)', 'how to check binary tree symmetry iteratively to avoid stack overflow with deep trees in python']"
96,16,96_jax_taggedoutput_fori_loop_jax lax,"['jax', 'taggedoutput', 'fori_loop', 'jax lax', 'jax lax fori_loop', 'lax', 'lax fori_loop', 'upper', 'beam', 'yield']","['wrap `jax.lax.fori_loop` to systematically override `upper<=lower` tracing behavior', '`jax.lax.fori_loop` with equal `lower` and `upper` should produce no iteration, but body still executed', 'how to correctly install jax with cuda on linux when `jax[cuda12_pip]` consistently falls back to the cpu version?']"
97,16,97_pivot_pivot table_table_pandas pivot,"['pivot', 'pivot table', 'table', 'pandas pivot', 'tables', 'pd pivot', 'pivoted', 'pd pivot table', 'pivot_table', 'aggfunc']","['pd.pivot table issue when adding margins=true', 'how to make values into rows instead of columns when using pivot table in pandas', 'pd pivot table lambda function to join column values with exceptions not working']"
98,15,98_count_how to count_to count_count of,"['count', 'how to count', 'to count', 'count of', 'grouped column', 'number of', 'counting', 'in row', 'column', 'number']","['how to count pandas dataframe cells using unique cell values as rows and columns', 'how to count the number of times a value has appeared so far in a python pandas dataset?', 'use pandas to turn cell value to column header and show count of that value as new value']"
99,15,99_sum_and sum_sumif_sumif equivalent,"['sum', 'and sum', 'sumif', 'sumif equivalent', 'conditional', 'sum in pandas', 'how to sum', 'sum in', 'to sum', 'summing']","['combination of ffil and sum in pandas dataframe', 'how to sum up a particular row of number inputs in a dataframe', 'how to sum pandas columns across the same record for columns which begins with the same word']"
100,15,100_tuner_keras tuner_tuner keyerror_keras tuner keyerror,"['tuner', 'keras tuner', 'tuner keyerror', 'keras tuner keyerror', 'tuning', 'keras_tuner', 'keras tuner not', 'tuner not', 'keyerror', 'objective']","['keras tuner keyerror ""mae"" for multiple output neural network', 'cannot see all `dense` layer info from `search_space_summary()` when using `randomsearch tuner` in keras-tuner?', 'not obtaining optimal results with keras tuner - not receieving the same optimal model that keras tuner suggests i can get']"
101,15,101_airflow_dag_composer_in airflow,"['airflow', 'dag', 'composer', 'in airflow', 'composer 13 airflow', 'composer 13', '13 airflow', 'dbt', 'job', 'operator']","['how to access params string within a dag run in airflow?', 'access task level parameters of databricks job along with parameters passed by airflow job', 'cloud composer upgrade: composer-2.13.9-airflow-2.9.3 -> composer-2.13.9-airflow-2.10.5']"
102,14,102_jupyter_jupyter notebook_notebook_in jupyter,"['jupyter', 'jupyter notebook', 'notebook', 'in jupyter', 'in jupyter notebook', 'running', 'working in', 'getting', 'code', 'while copying']","['code working in jupyter notebook but not working in idle', 'error ""attributeerror: \'nonetype\' object has no attribute \'iloc\'"" while copying python 3 (ipykernel) code on jupyter notebook', 'i am getting a permission error in my code , i am running the code in jupyter notebook and getting this error . can anyone?']"
103,14,103_positional_typeerror_argument___init__,"['positional', 'typeerror', 'argument', '__init__', 'positional arguments', 'takes', 'typeerror __init__', '__init__ takes', 'arguments', 'but were given']","['how to solve typeerror: __init__() takes 2 positional arguments but 3 were given', 'typeerror: sequential.__init__() takes from 1 to 3 positional arguments but 4 were given', 'typeerror: __init__() takes from 2 to 3 positional arguments but 4 were given']"
104,14,104_docker_container_docker build_docker container,"['docker', 'container', 'docker build', 'docker container', 'build', 'appuser', 'with docker compose', 'nodejs', 'docker compose', 'with docker']","['python in a docker container refused connection to postgres in a networked docker container', 'docker build fails on vps with chown -r appuser:appuser on node+python image but works on local', 'vscode dev containers: how to inject extra docker build steps (installing certificates) only for local development?']"
105,14,105_dataframe_in dataframe_lists_list,"['dataframe', 'in dataframe', 'lists', 'list', 'another dataframe', 'dataframe from', 'elements', 'column', 'column in', 'cells how to']","['pandas - smarter way to divide some columns of a dataframe by another dataframe', 'iterate in dataframe with more that one element per entry to have lists', 'output of for loop filling down in dataframe instead of returning corresponding values for each row']"
106,14,106_color_how to change_cell_color in,"['color', 'how to change', 'cell', 'color in', 'how to color', 'streamlit dataframe', 'to color', 'cells', 'font color', 'to change']","['color cells in output excel based on true false values complimantary table python pandas', 'streamlit dataframe - how to color a specific cell by row index and column name', 'how to change the font color or highlight a string in between to asterisks in python?']"
107,14,107_sparse_categorical_crossentropy_crossentropy_loss_299,"['sparse_categorical_crossentropy', 'crossentropy', 'loss', '299', 'entropy', 'cross entropy', 'binary crossentropy', 'with from_logits', 'sparse categorical crossentropy', 'sparse categorical']","['binary crossentropy and multi-label classification with from_logits set to true do not work as desired', 'why am i getting nan returned from the categorical_crossentropy which causes an index error when using pygad for optimizing a keras ann parameters?', 'valueerror: a target array with shape (160, 299, 299, 3) was passed for an output of shape (none, 1) while using as loss `binary_crossentropy`']"
108,14,108_new_new column_based on_based,"['new', 'new column', 'based on', 'based', 'dataframe based on', 'dataframe based', 'dataframe', 'to dataframe based', 'value from list', 'in dataframe']","['what tool should i use to create new column in dataframe based on multiple condition', ""how to create a new column using complex fomulas and variable outputs (i.e., recoding variables) in a pandas dataframe similarly to r's `case_when`?"", 'how to add value from a list as new column value in dataframe, if existing column value starts with that value from list']"
109,14,109_dictionary_dictionaries_list of dictionaries_of dictionaries,"['dictionary', 'dictionaries', 'list of dictionaries', 'of dictionaries', 'dataframe', 'list of', 'dictionary of lists', 'convert dictionary', 'nested dictionary', 'dict']","['transform an exploded data frame into a deeply nested dictionary, with headers', 'arbitrary depth tree represented by a nested dictionary of lists to pandas dataframe', 'convert dictionary of lists with entries as dictionaries into dataframe with top level key as additional column value in resulting dataframe']"
110,13,110_slower_than_slower than_slow,"['slower', 'than', 'slower than', 'slow', 'slow on', 'than cpu', 'tensorflow why is', 'significantly slower than', 'significantly slower', 'tensorflow']","['why is pytorch significantly slower than tensorflow? both are running cuda', 'cupy roi analysis significantly slower than numpy version on rtx 4090', 'training with tensorflow is much slower using gpu rather than cpu on m1 max']"
111,13,111_concatenate_to concatenate_how to concatenate_none,"['concatenate', 'to concatenate', 'how to concatenate', 'none', 'tensors', 'tensor of shape', 'none to', 'of shape none', 'tensor of', 'concatenation']","['inputs to a layer should be tensors. got: <keras.layers.merging.concatenate.concatenate', 'in my tensorflow model, why is the output of this concatenation the wrong shape? it should be (batch size, 14850) but its (batch size, 1053)?', 'how to concatenate, in tensorflow/keras, a tensor of shape (none, 1, n) to a tensor of shape (none, none, m) to get (none, none, n+m)?']"
112,13,112_concat_pandas concat_concat on_dataframe pandas concat,"['concat', 'pandas concat', 'concat on', 'dataframe pandas concat', 'concatenate', 'two columns', 'rows', 'panda', 'dataframes', 'pandas']","['pandas concat not retaining category dtype for large dataframes', 'pandas concat on resampled data frames results in empty data frame', ""why doesn't pandas concat do a copy when one of the dataframes is empty?""]"
113,12,113_code_prefix_this code_logic,"['code', 'prefix', 'this code', 'logic', 'is in', 'this', 'using counter', 'true if', 'to understand how', 'understand how both']","['does this code indicate a mistake in wikipedia\'s example on the ""qr code"" page?', 'problems with the logic for checking answer in code breaker / mastermind board game', 'why does my code say break outside loop when it is in the while true/if: statement?']"
114,12,114_create dataset name_dataset name_dataset name already_name already,"['create dataset name', 'dataset name', 'dataset name already', 'name already', 'name already exists', 'already', 'create dataset', 'already exists', 'exists', 'valueerror unable']","['valueerror: unable to synchronously create dataset (name already exists)', 'how to resolve the valueerror: unable to create dataset (name already exists)', ""i can't resolve valueerror: unable to create dataset (name already exists)""]"
115,12,115_qtableview_pyqt6_font_font size,"['qtableview', 'pyqt6', 'font', 'font size', 'how can change', 'can change', 'color', 'nested', 'to fit long', 'to insert word']","['how do i remove nested buttons from nested qhboxlayout in pyqt6?', 'how can i change the color for selected (highlighted) items in a qlistwidget', 'in pyside6 how to set the qtableview cell font color when in edit mode?']"
116,12,116_decorator_attrs_child_parent,"['decorator', 'attrs', 'child', 'parent', 'parent decorator', 'instantiation', 'inheritance', 'the function', 'classes', 'passing']","['how to mock assert that my parent decorator is called', 'how to access parent decorator variable in child decorator', ""is passing ray resources as options when calling the function equivalent to setting them in the function's decorator?""]"
117,11,117_shape_keras model_keras_output shape,"['shape', 'keras model', 'keras', 'output shape', 'shape error', 'model', 'structure', 'error', 'input shape', 'match']","['tensorflow/keras model raises output shape errors when loaded in another system', 'incomprehensible shape error with one of the inputs of my non-sequential keras model', ""using segform model with keras-hub error. the structure of `inputs` doesn't match the expected structure""]"
118,11,118_sparse_softmax_cross_entropy_losses sparse_softmax_cross_entropy_loss_losses,"['sparse_softmax_cross_entropy', 'losses sparse_softmax_cross_entropy', 'loss', 'losses', 'tf losses', 'tf losses sparse_softmax_cross_entropy', 'sparse_softmax_cross_entropy is deprecated', 'losses sparse_softmax_cross_entropy is', 'sparse_softmax_cross_entropy is', 'is deprecated']","['tf.losses.sparse_softmax_cross_entropy is deprecated. please use tf.compat.v1.losses.sparse_softmax_cross_entropy instead', 'tensorflow/core/util/port.cc:113] onednn custom operations are on. the name tf.losses.sparse_softmax_cross_entropy is deprecated', 'keras and tensorflow for r: warnings tf.losses.sparse_softmax_cross_entropy is deprecated and flushing python buffers sys.stderr and sys.stdout']"
119,10,119_loss_high_increasing_loss increasing,"['loss', 'high', 'increasing', 'loss increasing', 'high loss', 'loss and', 'decreasing', 'loss is', 'an approximately constant', 'and mse']","['rs232 to usb in a hub with other device: potential loss of data?', 'how to get rid of ridiculously high loss when data is already normalized?', 'my test loss is increasing but train loss is decreasing for neural network. what should i do?']"
120,10,120_hot_one hot_one hot encoding_hot encoding,"['hot', 'one hot', 'one hot encoding', 'hot encoding', 'encode', 'encoding', 'keras one hot', 'keras one', 'label encoder', 'hot encode']","[""why doesn't keras one-hot encode have not zeroes?"", 'why does the one-hot-encoding give worse accuracy in this case?', 'keras one hot encoding (to_categorical) returns wrong output']"
